architecture,noise_type,dominance_ratio,effect_size,p_value,greedy_mean,competitor_mean,competitor_name,significant,greedylr_wins
rosenbrock,periodic_spike,5.653690676106164,0.6698015551376537,0.0861308028339058,2.1183016531985763,11.976222305869063,cosine_restarts,False,False
rosenbrock,plateau,11.178315496419668,0.5726628183800392,0.13853636974383596,2.431577364106973,27.180938929940265,cosine,False,False
rosenbrock,drift,1.7638418530508373,0.28185727093395446,0.3566885084527701,7.961724620359019,14.043223107854525,cosine_restarts,False,False
rosenbrock,random_spike,36.19455239121243,0.48690357941254236,0.20366279200227416,1.3574591891209518,49.132627739571035,cosine_restarts,False,False
neural_multi_head,plateau,0.412965022912492,-0.2067676839749803,0.433509727867303,0.00021805120217853376,9.004751970375461e-05,cosine,False,False
neural_multi_head,burst,0.040405933502140334,-0.37701624362553265,0.1550004687095445,0.004259794231530615,0.000172120962452027,cosine,False,False
neural_multi_head,gaussian,0.13025788051101803,-0.28476961903634473,0.27920917734911255,0.0011945331735713437,0.00015559735938950326,cosine,False,False
neural_multi_head,periodic_spike,0.3904749891306665,-0.1972593320740522,0.45321066883256445,0.0005442500655282364,0.00021251603842150266,cosine,False,False
neural_multi_head,drift,0.3797056551509226,-0.22121968276763984,0.40117142267075845,0.0003602680530168101,0.00013679581710069518,cosine,False,False
neural_multi_head,oscillatory,2.8071039495367742,0.6652253579360259,0.04925743089709488,5.4562508832016e-05,0.00015316263403898726,cosine,True,True
neural_multi_head,random_spike,0.1038593555685794,-0.25302798413955646,0.3355420421977685,0.004241372583183534,0.00044050622321568277,cosine,False,False
neural_multi_head,none,4.7656655479001495,1.1457372078003274,0.001948363902401877,2.9472811278038098e-05,0.00014045756130750913,cosine,True,True
neural_multi_head,adversarial,5.457343412493772,0.8294245277563457,0.03227274068697038,3.639728358469559e-05,0.00019863247580360622,cosine,True,True
